teamName,season,rushing_yards,ypc,ypc_over_expected,yards_over_expected,epa,count,aly_mib,freq
Philadelphia Eagles,2014,1894,4.3,0.01,5.594979234948191,-0.051987160730593604,438,1.3,1
Philadelphia Eagles,2015,1573,4,-0.47,-183.9305533269251,-0.06128922364556962,395,1.1,1
Philadelphia Eagles,2016,1707,4.2,0.02,7.798952533344661,-0.05048394815920398,402,1.3,1
Philadelphia Eagles,2017,1980,4.4,0.1,44.055072638211186,-0.03762965976274944,451,1.1,1
Philadelphia Eagles,2018,1482,4,-0.23,-84.88243876610808,-0.01672967075880759,369,1.3,1
Pittsburgh Steelers,2009,1548,4.2,0.09,33.84734281400886,-0.04260830016260163,369,1.4,1
Pittsburgh Steelers,2010,1820,4.1,0.02,10.87105498849723,-0.05869815268623025,443,1.4,1
Pittsburgh Steelers,2011,1751,4.4,0.44,171.84073530872388,0.012196886967088608,395,1.5,1
Pittsburgh Steelers,2012,1589,3.7,-0.53,-226.69161752003447,-0.13107633553755868,426,1.5,1
Pittsburgh Steelers,2013,1298,3.5,-0.72,-264.59830072400484,-0.11524809181521739,368,1.4,1
Pittsburgh Steelers,2014,1732,4.3,-0,-0.8706740317270607,-0.03453944875311721,401,1.5,1
Pittsburgh Steelers,2015,1569,4.6,0.5,170.30154145580605,0.04469716032544379,338,1.3,1
Pittsburgh Steelers,2016,1716,4.5,0.21,77.81547301889668,0.007441664603174604,378,1.5,1
Pittsburgh Steelers,2017,1695,3.9,-0.32,-141.47088333549115,-0.042758501212814645,437,1.4,1
Pittsburgh Steelers,2018,1346,4.2,0.02,5.261751032114218,-0.003979154141955838,317,1.5,1
San Francisco 49ers,2009,1356,4.3,0.21,64.9966696011485,-0.059071603322683706,313,1.3,1
San Francisco 49ers,2010,1512,4.1,-0.06,-21.241623103574952,-0.04841228567204301,372,1.6,1
San Francisco 49ers,2011,1905,4.3,0.4,175.69832710522317,-0.07003511615914221,443,1.3,1
San Francisco 49ers,2012,2281,4.9,0.91,429.32971722509984,0.04215197731914894,470,1.4,1
San Francisco 49ers,2013,1813,4.1,0.22,95.75014488600385,-0.06148688067301587,441,1,1
San Francisco 49ers,2014,1674,4.1,-0.07,-27.428593087395306,-0.09500183606341463,410,1.3,1
San Francisco 49ers,2015,1092,3.6,-0.67,-204.05369900383909,-0.06856266839869281,306,1.1,1
